title,description,author,date,link
'Yu-Gi-Oh! Legacy of the Duelist Link Evolution' Review: The Best Pure Yu-Gi-Oh! Game Ever,"What you see is what you get, and that's a game Yu-Gi-Oh! fans will love.",Phillip Martinez,2019-09-06T15:04:09Z,https://www.newsweek.com/yugioh-legacy-duelist-link-evolution-review-score-nintendo-switch-1458065
30-year old pitcher made his MLB debut after 10 years in the minors and struck out his brother in his first game,"30-year-old Brian Moran made his major league debut on Thursday night after a decade spent bouncing around the minors. As fate would have it, Moran would get to face off against his brother Colin in his first game in the big leagues, and made the most of the …",Tyler Lauletta,2019-09-06T16:47:51Z,https://www.businessinsider.com/video-brain-moran-strikes-out-brother-colin-moran-2019-9
Queer style kicks off NY Fashion Week with inclusive show,"In celebration of gender-fluid fashion and inclusion of all kinds, the queer-style digital magazine dapperQ threw a runway party at the start of New York Fashion Week",The Associated Press,2019-09-06T15:27:54Z,https://abcnews.go.com/Entertainment/wireStory/queer-style-kicks-off-ny-fashion-week-inclusive-65432318
Sony releases a Walkman for its 40th anniversary,"The Sony Walkman is back. Sony announced at IFA 2019, one of the leading consumer electronics trade shows that takes place annually in Berlin, that it would be releasing a new version of their iconic portable music player.","Allen Kim, CNN",2019-09-06T17:16:23Z,https://www.cnn.com/2019/09/06/tech/sony-walkman-40-trnd/index.html
Prince Harry to visit Diana's Angola landmine project,Britain's Prince Harry will make a poignant visit to Angola this month to visit the landmine clearance project that featured in some of the most famous photographs of his late mother Princess Diana.,Reuters Editorial,2019-09-06T14:54:49Z,https://www.reuters.com/article/us-britain-royals-harry-africa-idUSKCN1VR1WY
2019/09/06 13:00 GMT,The latest five minute news bulletin from BBC World Service.,,2019-09-06T13:06:00Z,https://www.bbc.co.uk/programmes/w172wy0h9cyj9bh
US border: Mexico announces 56% migrant drop after crackdown,The foreign minister says the number of arrivals on the US border has fallen by 56% since May.,https://www.facebook.com/bbcnews,2019-09-06T16:12:28Z,https://www.bbc.co.uk/news/world-latin-america-49612597
American Airlines mechanic charged with sabotage,The suspect says he was upset over stalled union contract negotiations and trying to get overtime.,BBC News,2019-09-06T11:00:47Z,http://www.bbc.co.uk/news/world-us-canada-49607684
Dow edges higher ahead of jobs report,The Dow is on pace for a third-straight day of gains. Investors remain cautiously optimistic ahead of the August jobs report.,"Anneken Tappe, CNN Business",2019-09-06T12:20:51Z,https://www.cnn.com/2019/09/06/investing/dow-stock-market-today/index.html
Nicki Minaj announces her retirement – or is it the biggest troll of 2019?,Rapper has paved the way for other women but struggled to accept a changing industry,Andre Wheeler,2019-09-06T08:07:28Z,https://www.irishtimes.com/culture/music/nicki-minaj-announces-her-retirement-or-is-it-the-biggest-troll-of-2019-1.4009829
"Roche doesn't need M&A to boost sales, sees growth from own meds- CEO","Swiss drugmaker Roche sees sales rising in the longer term from medicines in its own pipeline, Chief Executive Severin Schwan told Reuters on Friday, adding he does not want or need to do takeovers to mitigate looming patent losses.",John Miller,2019-09-06T15:06:51Z,https://www.reuters.com/article/us-roche-ceo-idUSKCN1VR1Y6
Norway warns of right-wing terror attack in coming year,"Norway's domestic security agency says it ""now considers it possible that Norwegian right-wing extremists will try to carry out terrorist acts in the coming year.""",The Associated Press,2019-09-06T13:30:11Z,https://abcnews.go.com/International/wireStory/norway-warns-wing-terror-attack-coming-year-65429946
Hong Kong braces for more protests as Merkel calls for dialogue,"Rallies to target airport, gov't buildings over weekend as German Chancellor calls for peaceful solution on China visit.",Al Jazeera,2019-09-06T07:01:38Z,https://www.aljazeera.com/news/2019/09/hong-kong-braces-protests-merkel-calls-dialogue-190906062919379.html
UN nuclear watchdog has 4 candidates to take top job,Four candidates from three continents hope to succeed the late Yukiya Amano as the director general of the United Nations' nuclear watchdog,The Associated Press,2019-09-06T14:39:28Z,https://abcnews.go.com/International/wireStory/nuclear-watchdog-candidates-top-job-65431045
"Eye Opener at 8: East Coast faces tornado watches, debris, flood warnings","A look back at what we've been covering on ""CBS This Morning.""",CBS News,2019-09-06T12:18:26Z,https://www.cbsnews.com/video/eye-opener-at-8-east-coast-faces-tornado-watches-debris-flood-warnings/
Best party cities around the world,"Any major city will have bars, clubs and live music venues, but not all of them can claim to be a true party capital. Check out 11 of the world's best party cities from Bangkok to New York.","Juliet Izon, CNN",2019-09-06T13:21:43Z,https://www.cnn.com/travel/article/worlds-best-party-cities/index.html
Ashes: Mitchell Starc hits Joe Root in the box,Mitchell Starc hits Joe Root “right where you don’t want it” on day three of the fourth Ashes Test at Old Trafford.,,2019-09-06T15:09:54Z,https://www.bbc.co.uk/sport/av/cricket/49610855
The Latest: Facebook says it'll cooperate on antitrust probe,Facebook says it plans to work constructively with state attorneys general who are launching an antitrust probe into the company.,The Associated Press,2019-09-06T14:37:41Z,https://abcnews.go.com/Technology/wireStory/latest-facebook-cooperate-antitrust-probe-65430986
Final Newcastle and Gateshead clean air plans unveiled - BBC News,Final Newcastle and Gateshead clean air plans unveiled BBC News The revised options for Tyneside include a £50 charge for HGVs but no initial fee for private cars.,https://www.facebook.com/bbcnews,2019-09-06T13:58:12Z,https://www.bbc.co.uk/news/uk-england-tyne-49610560
One arrested and two in hospital after fight on A470,Part of the A470 was closed on Friday after a fight which saw two people taken to hospital.,https://www.facebook.com/bbcnews,2019-09-06T14:32:17Z,https://www.bbc.co.uk/news/uk-wales-49607972
Indiana woman formally charged in stepdaughter's killing,"An Indiana woman has been formally charged in the killing of her 10-year-old stepdaughter, whose body was found hidden inside a plastic trash bag in a shed",The Associated Press,2019-09-06T16:10:13Z,https://abcnews.go.com/US/wireStory/indiana-woman-formally-charged-stepdaughters-killing-65433147
"U.S. job growth slows further; wages, hours pick up","U.S. job growth slowed more than expected in August, with retail hiring declining for a seventh straight month, but strong wage gains should support consumer spending and keep the economy expanding moderately amid rising threats from trade tensions.",Lucia Mutikani,2019-09-06T15:43:38Z,https://in.reuters.com/article/usa-economy-idINKCN1VR20X
The CEO of cannabis-tech startup Headset told us why having a concise mission statement is crucial to successfully pitching investors,"The CEO of Headset, a data analytics provider for the cannabis industry, revealed his key advice for making a successful pitch to potential investors. Cy Scott walked through his pitch deck during a webinar moderated by Business Insider. Scott emphasized the …",Clarrie Feinstein and Jeremy Berke,2019-09-06T16:44:00Z,https://www.businessinsider.com/ceo-of-cannabis-tech-startup-headset-advice-for-pitching-investors-2019-9
Garry Monk: Sheffield Wednesday set to name ex-Birmingham City boss as manager,"Sheffield Wednesday are set to name former Birmingham, Leeds and Swansea manager Garry Monk as their new boss.",,2019-09-06T12:54:35Z,https://www.bbc.co.uk/sport/football/49610317
Germany wants to ban some plastic bags from retail stores,Germany's environment minister says she wants to ban certain light plastic bags from retail stores in an effort to cut down on long-lived waste,The Associated Press,2019-09-06T12:19:45Z,https://abcnews.go.com/International/wireStory/germany-ban-plastic-bags-retail-stores-65428185
More deaths reported among rising number of lung disease cases that could be due to vaping,US health officials announced Friday that they are now aware of at least 450 possible cases of severe lung disease that could be caused by vaping.,"Michael Nedelman, CNN",2019-09-06T17:03:03Z,https://www.cnn.com/2019/09/06/health/cdc-vaping-lung-disease-investigation-update-bn/index.html
"USMNT vs. Mexico: Where to Watch, Live Stream, TV Channel, Odds",The USMNT takes on Mexico in a friendly on Friday night two months after losing to El Tri in the Gold Cup final.,Dan Cancian,2019-09-06T10:00:01Z,https://www.newsweek.com/usmnt-mexico-watch-live-stream-odds-1457819
The Boy Who Followed His Father into Auschwitz is new Irish Times Eason offer,A sneak preview of Saturday’s books pages,Martin Doyle,2019-09-06T13:36:31Z,https://www.irishtimes.com/culture/books/the-boy-who-followed-his-father-into-auschwitz-is-new-irish-times-eason-offer-1.4010015
Ashes 2019: Andrew Flintoff would 'love to be England coach one day',"Former all-rounder Andrew Flintoff says he would ""love"" to be England coach one day - just ""not quite yet"".",,2019-09-06T12:32:35Z,https://www.bbc.co.uk/sport/cricket/49608664
"Markets Right Now: Stocks give up an early gain, turn mixed",Stocks are giving up an early gain and turning mixed in early trading as traders looked over a mixed report on the job market last month.,The Associated Press,2019-09-06T13:45:11Z,https://abcnews.go.com/Business/wireStory/markets-now-stocks-give-early-gain-turn-mixed-65430189
"James Mattis Says Russia 'Mucked Around in Our Elections,' Warns U.S. Needs to Deal with Putin",The former secretary of defense said the days of cooperation with Russia are gone and that the U.S. must stand alongside its allies against President Vladimir Putin.,David Brennan,2019-09-06T09:41:07Z,https://www.newsweek.com/james-mattis-russia-mucked-around-our-elections-warns-u-s-deal-vladimir-putin-donald-trump-1458004
The Second City Claims First in Architecture,"Chicago’s leading provider of architecture tours has an expanded center, giving it a new visibility and a logical location, on the river.",Elaine Glusac,2019-09-06T09:00:34Z,https://www.nytimes.com/2019/09/06/travel/chicago-architecture-center-tours.html
"Treasury unveils plan to privatize Fannie Mae, Freddie Mac","The administration wants to return the mortgage finance giants to private ownership, reducing risks to taxpayers",CBS/AP,2019-09-06T13:32:07Z,https://www.cbsnews.com/news/fannie-mae-freddie-mac-privatization-trump-administration-unveils-plan-to-privatize-mortgage-finance-giants/
The Crown Prince’s Digital Iron Fist,Mohammed bin Salman of Saudi Arabia says he wants to bring his country into the 21st century. What does that mean for Saudis’ privacy?,Sarah Aziza,2019-09-06T10:01:09Z,https://www.nytimes.com/2019/09/06/opinion/saudi-arabia-internet.html
Kennedy Center looks to the future with opening of The Reach,The Kennedy Center is unveiling a massive new expansion designed to redefine the iconic performing arts complex and transform the relationships between audience and artist,The Associated Press,2019-09-06T16:32:26Z,https://abcnews.go.com/Entertainment/wireStory/kennedy-center-future-opening-reach-65433925
DocuSign skyrockets 24% after smashing sales forecasts (DOCU),"Shares of DocuSign surged as much as 24% on Friday after the company posted revenue that beat Wall Street expectations. The company reported total revenue of $235.6 million in the second quarter, up from 41% during the same period last year. Wedbush analyst D…",Daniel Strauss,2019-09-06T15:58:03Z,https://markets.businessinsider.com/news/stocks/docusign-earnings-2q-stock-price-soars-on-revenue-beat-2019-9-1028505820
"In Tennis, Hugging at the Net Is the New Handshake","The congratulatory (or consoling) moment after a match has, for many players, evolved into an elaborate show of affection.",Cindy Shmerler,2019-09-06T15:58:13Z,https://www.nytimes.com/2019/09/06/sports/tennis/us-open-hugs.html
"15 Ways Facebook, Google, Apple and Amazon Are in Government Cross Hairs","Investigations could eventually lead to the breakup of some companies, and to new laws that might alter the balance of corporate power.",The New,2019-09-06T14:19:14Z,https://www.nytimes.com/interactive/2019/technology/tech-investigations.html
Hurricane Dorian: Who is helping in the relief effort?,"As aid is stepped up in the Bahamas, we take a look at the people offering support to survivors.",https://www.facebook.com/bbcnews,2019-09-06T14:26:23Z,https://www.bbc.co.uk/news/world-latin-america-49607157
‘We Have Moved On Without Him’: Robert Mugabe’s Star Had Faded in Zimbabwe,"As Zimbabweans learned of the death of their former leader, who held the country in his grip for decades after its independence, the reaction was muted.",Jeffrey Moyo and Norimitsu Onishi,2019-09-06T08:59:23Z,https://www.nytimes.com/2019/09/06/world/africa/mugabe-death-zimbabwe.html
Eddie Murphy's long awaited return to standup is finally happening,Eddie Murphy has multiple upcoming projects and a stand-up tour sounds like one of them.,"Marianne Garvey, CNN",2019-09-06T13:25:40Z,https://www.cnn.com/2019/09/06/entertainment/eddie-murphy-standup/index.html
"Samantha Power: ""It's going to be very hard to recover"" from Trump era",Former U.N. ambassador says there's a need to restore and reinforce America's alliances and our nation's celebration of diversity and individual rights,CBS News,2019-09-06T14:30:28Z,https://www.cbsnews.com/news/samantha-power-its-going-to-be-very-hard-to-recover-from-trump-era/
'Super Size Me 2' will make you think twice about fast food,'Super Size Me 2: Holy Chicken!' review: Morgan Spurlock's long-delayed sequel will make you think twice about fast food,"Brian Lowry, CNN",2019-09-06T13:32:44Z,https://www.cnn.com/2019/09/06/entertainment/super-size-me-2-review/index.html
Accused Scott Pearson 'thought he reversed over security guard with van',"Scott Pearson, 22, is accused of murdering father-of-four Mohammed Abu Sammour in Newarthill last October.",https://www.facebook.com/bbcnews,2019-09-06T14:56:05Z,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-49606198
"Florida School Bus Driver Arrested for Allegedly Yelling, Shaking and Poking Wheelchair-Using Non-Verbal Child in the Head","Evelyn Fields is accused of child abuse following the incident in Okaloosa County, which was captured by the bus's surveillance camera.",Ewan Palmer,2019-09-06T13:09:48Z,https://www.newsweek.com/florida-school-bus-driver-disabled-boy-1458026
Vodafone extends sponsorship of Irish rugby team in €16m deal,Deal with IRFU sees Vodafone as principal sponsor of Irish rugby team and women’s interprovincial competition,Ciarán Hancock,2019-09-06T11:00:29Z,https://www.irishtimes.com/business/media-and-marketing/vodafone-extends-sponsorship-of-irish-rugby-team-in-16m-deal-1.4009909
Father of Irish doctor killed in plane crash to appeal dropping of charges,Three Irish women killed when Air France flight crashed off Brazilian coast in 2009,Vivienne Clarke,2019-09-06T14:36:14Z,https://www.irishtimes.com/news/ireland/irish-news/father-of-irish-doctor-killed-in-plane-crash-to-appeal-dropping-of-charges-1.4010083
What exactly is the Nürburgring — and why would Elon Musk want the Tesla Model S to take on this legendary track? (TSLA),"Tesla CEO Elon Musk indicated that a Model S would take on the famous Nürburgring-Nordschleife, a German race track that's popular among car makers for setting high-performance lap times. The Porsche Taycan, launched this week, is the fastest production EV to…",Matthew DeBord,2019-09-06T14:09:48Z,https://www.businessinsider.com/what-is-the-nurburgring-elon-musk-tesla-model-s-2019-9
Black unemployment rate falls to a record low,"The black unemployment rate fell to a record low in August, helped by a jump in the number of black women on the job.","Chris Isidore, CNN Business",2019-09-06T13:59:59Z,https://www.cnn.com/2019/09/06/economy/black-unemployment-rate/index.html
Trubisky: Struggles not tied to preseason inaction,"Mitchell Trubisky said a lack of preseason action wasn't why he struggled in the Bears' season-opening loss to Green Bay on Thursday night, with coach Matt Nagy saying he didn't do enough in terms of playcalling to help out his quarterback.",Jeff DickersonESPN Staff Writer ,2019-09-06T05:20:00Z,http://espn.go.com/nfl/story/_/id/27548094/trubisky-struggles-not-tied-preseason-inaction
High Court appoints interim examiner to Limerick FC,Judge hears club has reasonable prospect of survival if certain steps are taken,,2019-09-06T16:43:33Z,https://www.irishtimes.com/news/crime-and-law/courts/high-court/high-court-appoints-interim-examiner-to-limerick-fc-1.4010255
New Liffey Street plaza: ‘Eliminating traffic kills businesses’,Pedestrians and business owners give their views on plans for the new Dublin plaza,Rosita Boland,2019-09-06T11:00:00Z,https://www.irishtimes.com/life-and-style/people/new-liffey-street-plaza-eliminating-traffic-kills-businesses-1.4009019
"Harry, Meghan and Archie set for 10-day southern Africa trip",Royal officials say Prince Harry will see the legacy of his late mother Princess Diana's humanitarian work in Angola during a visit to southern Africa this fall,The Associated Press,2019-09-06T15:37:38Z,https://abcnews.go.com/Entertainment/wireStory/harry-meghan-archie-set-10-day-southern-africa-65432546
Hotel sues tourist after he complained about Nazi portraits,"A German man is being sued by the owners of a four-star hotel in Austria after posting online reviews in which he criticised them for decorating their lobby with a portrait of a “Nazi grandpa” in a uniform adorned with a swastika. The man, named in court docu…",Philip Oltermann,2019-09-06T12:18:33Z,https://www.irishtimes.com/life-and-style/travel/hotel-sues-tourist-after-he-complained-about-nazi-portraits-1.4009971
"Hong Kong bookseller who defied China raises $100,000 in a day for new shop","Lam Wing Kee, who publicly defied China, raised the money in a single day after moving to Taiwan.",https://www.facebook.com/bbcnews,2019-09-06T15:29:55Z,https://www.bbc.co.uk/news/world-asia-49612785
"A woman was pecked to death by a rooster, pathologists say",A 76-year-old woman died in Australia recently after a few pecks from a rooster resulted in a catastrophic vein injury.,"AJ Willingham, CNN",2019-09-06T16:02:47Z,https://edition.cnn.com/2019/09/06/australia/rooster-peck-death-study-trnd/index.html
Zika: Children of the outbreak,"Just over three years ago, an outbreak of the Zika virus caused a crisis in Brazil: a dramatic increase in babies born with microcephaly. These babies are now young children facing a variety of medical problems and an uncertain future. But just as a sudden dr…",CBS News,2019-09-06T17:13:39+00:00,https://www.cbsnews.com/video/zika-children-of-the-outbreak/
Molenbeek: Terror recruiting ground,"CBSN Originals explores the roots of terror in Molenbeek, Belgium.",CBS News,2019-09-06T17:02:43Z,https://www.cbsnews.com/video/molenbeek-terror-recruiting-ground-1/
Iran 'inching' toward place where talks could be held: Pentagon chief,"U.S. Defense Secretary Mark Esper said on Friday that it appeared Iran was inching toward a place where talks could be held, days after U.S. President Donald Trump left the door open to a possible meeting with Iranian President Hassan Rouhani.",Idrees Ali,2019-09-06T17:12:29Z,http://feeds.reuters.com/~r/reuters/topNews/~3/oTzxSFKfjP8/iran-inching-toward-place-where-talks-could-be-held-pentagon-chief-idUSKCN1VR130
"Where Is Hurricane Dorian Right Now? Path, Track for Storm After Landfall Over Cape Hatteras, North Carolina","The storm is expected to continue north, possibly hitting Nova Scotia on Saturday.",Jenni Fink,2019-09-06T15:56:38Z,https://www.newsweek.com/hurricane-dorian-path-track-hatteras-north-carolina-1458073
Hiring likely slowed in August as the US-China trade war raged,"The US jobs report out Friday is expected to show hiring slowed in August but held at a solid pace, offering the latest official snapshot of the economy weeks after a key recession warning flashed. Economists forecast the Labor Department report will show the…",Gina Heeb,2019-09-06T12:09:20Z,https://www.businessinsider.com/jobs-report-august-nonfarm-payrolls-unemployment-rate-economy-2019-9
Russia’s Playbook for Disrupting Democracy,A New TV Show from The New York Times on FX and Hulu,,2019-09-06T09:00:11Z,https://www.nytimes.com/2019/09/06/the-weekly/russia-estonia-election-cyber-attack.html
Hurricane Dorian spins damaging tornadoes into the North Carolina coast,"As Hurricane Dorian nears North Carolina, the outer banks of the storm spin destructive tornadoes into coastal cities. The hurricane is also expected to bring life-threatening storm surges, flash floods and damaging winds to the state. CBS News correspondent …",CBS News,2019-09-06T02:28:44Z,https://www.cbsnews.com/video/hurricane-dorian-spins-damaging-tornadoes-into-the-north-carolina-coast/
"200,000 homes and businesses without power in South Carolina after Dorian","Hurricane Dorian gave coastal South Carolina a beating on Thursday. On Friday morning, Charleston is beginning to survey the damage. Dorian's eye passed within 55 miles of the city, bringing heavy rain and wind gusts of more than 70 mph. Jamie Yuccas reports.",CBS News,2019-09-06T11:19:13Z,https://www.cbsnews.com/video/200000-homes-and-businesses-without-power-in-south-carolina-after-dorian/
WATCH: ‘Catastrophic’ spill reported at Bahamian oil facility following Dorian,A Norwegian-owned oil storage facility on Grand Bahama was damaged during Hurricane Dorian and local press called it an “environmental disaster.”,ABC News,2019-09-06T15:50:13Z,https://abcnews.go.com/US/video/catastrophic-spill-reported-bahamian-oil-facility-dorian-65431971
How to hide your LinkedIn profile from public view to reduce spam and unwanted requests,"To hide your LinkedIn profile, you'll need to edit your Privacy settings. You can access these settings from your profile on a computer or the LinkedIn mobile app. Hiding your LinkedIn profile can be useful if you're being spammed with recruitment requests, o…",Jennifer Still,2019-09-06T16:15:00Z,https://www.businessinsider.com/how-to-hide-linkedin-profile
Vertex shells out $950 million to acquire a company working on a diabetes cure,"This is an excerpt from a story delivered exclusively to Business Insider Intelligence Digital Health Pro subscribers. To receive the full story plus other insights each morning, click here. Boston-based Vertex Pharmaceuticals, maker of a suite of cystic fibr…",Zachary Hendrickson,2019-09-06T15:18:00Z,https://www.businessinsider.com/vertex-acquires-semma-therapeutics-diabetes-research-firm-2019-9
Trump plans to revoke California fuel economy standards,"Instead, the administration plans to set a single nationwide standard",CBS/AP,2019-09-06T03:08:19Z,https://www.cbsnews.com/news/trump-plans-to-revoke-california-fuel-economy-standards/
Trump’s Dorian Tweets Continue to Baffle Late-Night Hosts,"“The National Weather Service has to monitor the president’s tweets as closely as they monitor actual hurricanes,” Seth Meyers joked Thursday.",Trish Bendix,2019-09-06T06:49:39Z,https://www.nytimes.com/2019/09/06/arts/television/late-night-trump-tweets-hurricane-dorian.html
"New Liffey Street plaza: ‘Madness, What’s the point of all the multi-storey car parks now?’",Pedestrians and business owners give their views on plans for the new Dublin plaza,Rosita Boland,2019-09-06T11:00:00Z,https://www.irishtimes.com/life-and-style/people/new-liffey-street-plaza-madness-what-s-the-point-of-all-the-multi-storey-car-parks-now-1.4009019
Chaos and crisis in Kashmir hospitals after month-long lockdown,"Patients scrambling for medicines, doctors unable to work due to blackout and hospitals running out of resources.",Adnan Bhat,2019-09-06T12:45:48Z,https://www.aljazeera.com/news/2019/09/chaos-crisis-kashmir-hospitals-month-long-lockdown-190905205741695.html
"Meet 'Undercover Billionaire' star Glenn Stearns, who built a fortune running a now-bankrupt mortgage lender and spent 15 months sailing around the world on a yacht with his family","California businessman Glenn Stearns, the star of the Discovery Channel's ""Undercover Billionaire,"" built his fortune after founding the mortgage lender Stearns Lending at age 25. Stearns Holdings, the parent company that owns Stearns Lending, filed for bankr…",Taylor Nicole Rogers,2019-09-06T16:20:00Z,https://www.businessinsider.com/undercover-billionaire-star-glenn-stearns-life-net-worth-family-career
Andrew Yang’s Quest to ‘Make America Think Harder’,"The entrepreneur turned presidential candidate is explaining automation to the masses. And as voters realize he is serious and substantive, his campaign is gaining steam.",Matt Stevens,2019-09-06T12:13:31Z,https://www.nytimes.com/2019/09/06/us/politics/andrew-yang-2020.html
How High Tech Is Transforming One of the Oldest Jobs: Farming - The New York Times,"How High Tech Is Transforming One of the Oldest Jobs: Farming The New York Times From equipment automation to data collection and analysis, the digital evolution of agriculture is already a fact of life on farms across the United States.",,2019-09-06T09:00:00Z,https://www.nytimes.com/2019/09/06/business/farming-technology-agriculture.html
Lawmakers Face Pressure to Act on Gun Control,"Following three recent major mass shootings, Congress will return amid an outcry for tighter gun controls. WSJ's Gerald F. Seib explains whether a shift in public attitude towards gun laws will translate into action in Congress. Photo: Megan Jelinger/SOPA Ima…",,2019-09-06T09:30:00Z,https://www.wsj.com/video/lawmakers-face-pressure-to-act-on-gun-control/054BD915-E137-4EE9-9F80-7D0E1E6DB0F7.html
"Dorian makes landfall in Cape Hatteras, North Carolina","Hurricane Dorian is slamming the North Carolina coast, making landfall in Cape Hatteras as a Category 1. CBS News correspondent Omar Villafranca joined CBSN from Kitty Hawk with the latest on conditions there.",CBS News,2019-09-06T16:47:03Z,https://www.cbsnews.com/video/dorian-makes-landfall-in-cape-hatteras-north-carolina/
Thousands of Iranians support call for Iran world sport ban,Thousands use social media to call for their country to be banned from global competitions.,https://www.facebook.com/bbcnews,2019-09-06T14:13:52Z,https://www.bbc.co.uk/news/blogs-trending-49607292
Is This the World’s Most Accessible Museum?,"Those without disabilities might not notice the innovations, but a museum in London is winning plaudits for its design and content.",Alex Marshall,2019-09-06T15:24:05Z,https://www.nytimes.com/2019/09/06/arts/design/disabled-access-wellcome-collection.html
North Carolina's outer banks prepare for a potential direct hit from Hurricane Dorian,"North Carolina's outer banks are dangerously exposed to Hurricane Dorian's wind and the potential for a storm surge, and residents are bracing for a possible direct hit. The storm has already caused tornados, including one caught on a doorbell camera. Omar Vi…",CBS News,2019-09-06T11:19:29Z,https://www.cbsnews.com/video/north-carolinas-outer-banks-prepare-for-a-potential-direct-hit-from-hurricane-dorian/
Hurricane Dorian makes landfall over the US's North Carolina,Storm brings floodwaters and high winds to US eastern coastline after reducing parts of the Bahamas to rubble.,Al Jazeera,2019-09-06T15:32:11Z,https://www.aljazeera.com/news/2019/09/hurricane-dorian-landfall-north-carolina-190906142904016.html
Banks urged to monitor political figures for money laundering,The Central Bank has issued a new set of guidelines for firms on terrorism obligations,Colin Gleeson,2019-09-06T09:30:49Z,https://www.irishtimes.com/business/financial-services/banks-urged-to-monitor-political-figures-for-money-laundering-1.4009847
"Buttigieg's first Iowa TV ad focuses on ending partisanship, bridging Democratic divides","Democratic presidential candidate Pete Buttigieg released his first television ad in Iowa on Friday, debuting a spot that looks to bridge the divide inside the Democratic Party months out from the state's caucuses.","Dan Merica, CNN",2019-09-06T14:24:41Z,https://www.cnn.com/2019/09/06/politics/pete-buttigieg-iowa-ad/index.html
Stephon Clark's two young sons to get $2.4 million from Sacramento,"Unarmed black man was shot dead by cops in grandparents' backyard, prompting widespread protests; parents' and grandparents' claims in $20 million suit still pending",CBS/AP,2019-09-06T06:49:58Z,https://www.cbsnews.com/news/stephon-clarks-two-young-sons-to-get-2-4-million-from-sacramento/
"Frank Ormsby, Ireland's new Professor of Poetry: ‘I like poems without pomposity or pretentiousness’",A Q&A with Ireland’s new Professor of Poetry by Reading Ireland editor Adrienne Leavy,Adrienne Leavy,2019-09-06T12:01:00Z,https://www.irishtimes.com/culture/books/frank-ormsby-ireland-s-new-professor-of-poetry-i-like-poems-without-pomposity-or-pretentiousness-1.4007983
Teemu Pukki: Norwich striker among August Premier League player of the month nominees,Norwich City striker Teemu Pukki is among the nominees for August's Premier League player of the month award.,,2019-09-06T12:02:27Z,https://www.bbc.co.uk/sport/football/49609607
"Zimbabwe: Robert Mugabe, strongman ex-president, dies aged 95","We look at legacy of controversial and authoritarian figure who ruled for 37 years. He was renowned as a liberation fighter and statesman, but criticised for his repressive and intolerant policies. Also, Bahamas government says that death toll from Hurricane …",,2019-09-06T15:38:00Z,https://www.bbc.co.uk/programmes/p07mnyq0
Powell Set to Address Economic Outlook Ahead of Fed Meeting,"After cutting the interest-rate benchmark by a quarter point in July, officials are gearing up for a second cut, likely by another quarter point",Nick Timiraos,2019-09-06T09:30:00Z,https://www.wsj.com/articles/powell-set-to-address-economic-outlook-ahead-of-fed-meeting-11567762202?mod=hp_lead_pos3&amp;mod=article_inline&amp;mod=hp_lead_pos3
Bob Carter: New Zealand name ex-Northamptonshire boss as women's coach,New Zealand name former Northamptonshire player and coach Bob Carter as the new head coach of their women's team.,,2019-09-06T15:51:39Z,https://www.bbc.co.uk/sport/cricket/49613636
Former Starbucks CEO Howard Schultz formally announces he won't run in 2020,Former Starbucks CEO Howard Schultz announced in a letter to his supporters on Friday that he is formally forgoing an independent presidential run in 2020.,Will Steakin,2019-09-06T12:45:07Z,https://abcnews.go.com/Politics/starbucks-ceo-howard-schultz-formally-announces-run-2020/story?id=65427175
Martin berates Government for failing to spell out no-deal implications,FF leader questioned Government’s preparedness for worst possible Brexit outcome,Harry McGee,2019-09-06T15:25:36Z,https://www.irishtimes.com/news/politics/martin-berates-government-for-failing-to-spell-out-no-deal-implications-1.4010145
Biden insists he isn't taking money from fossil fuel industry,The former vice president says he won't accept money from lobbyists for the fossil fuel industry,CBS News,2019-09-06T15:58:21Z,https://www.cbsnews.com/news/biden-addresses-aappearing-at-natural-gas-company-founders-fundraiser/
U.S. flags 2 new deaths from lung illness possibly tied to vaping,"U.S. health authorities on Friday said two people had died in the states of Oregon and Indiana from lung illness that were possibly tied to vaping, bringing the total official count of such deaths to three.",Reuters Editorial,2019-09-06T17:00:44Z,https://www.reuters.com/article/us-health-vaping-idUSKCN1VR26O
"States to Launch Google, Facebook Antitrust Probes","Texas attorney general to lead effort examining impact of Google on digital advertising markets; New York attorney general to helm Facebook review, citing concerns over control of personal data",John D. McKinnon,2019-09-06T09:30:00Z,https://www.wsj.com/articles/states-to-launch-google-facebook-antitrust-probes-11567762204?mod=hp_lead_pos1
A San Francisco startup pays its employees to go to Burning Man. Their pictures show what it's like to live in the art-filled desert festival on the company's dime.,"15Five, a performance management software company based in San Francisco, paid for two of its employees to go to Burning Man this year. The startup's cofounder said the festival teaches people about creativity, an important business skill. The employees share…",Allana Akhtar,2019-09-06T14:28:36Z,https://www.businessinsider.com/company-pays-for-employees-to-attend-burning-man-2019-9
Former inmate tours Ethiopian torture center after it opens to the public,"Blogger Befekadu Hailu’s eyes filled with tears as he stood on the spot where he had watched a guard attack a friend in Maekelawi detention center, a name long synonymous in Ethiopia with torture and fear.",Reuters Editorial,2019-09-06T16:22:38Z,https://www.reuters.com/article/us-ethiopia-justice-idUSKCN1VR22N
