title,description,author,date,link
ADVICE 28: Talking Politics,,Brent Stoller,06/30/16,https://www.huffpost.com/entry/advice-28-talking-politic_b_10759956
Here's How 'Frasier' Marked A Turning Point For LGBTQ Characters On TV,"The Kelsey Grammer-led series set the stage for ""Will & Grace"" in its nuanced take on queer issues, writer Matt Baume notes.",Curtis M. Wong,11/13/19,https://www.huffpost.com/entry/frasier-tv-show-gay-characters_n_5dcb24cbe4b028226727a147
U.S. Military Struggles To Manage Evacuation As Taliban Topples Afghan Government,"In a stunning rout, the Taliban seized nearly all of Afghanistan in just over a week.",AP,08/15/21,https://www.huffpost.com/entry/taliban-seize-jalalabad-afghanistan_n_611892d1e4b01da700f67b75
This Medicare Premium Will Climb 10 Percent In 2017,"As of Jan. 1, 2017, the monthly Medicare Part B premium is $134, up 10 percent from 2016.",Diane Archer,11/28/16,https://www.huffpost.com/entry/medicare-premiums_b_13129472
How to Eat During Passover: 5 Things to Know,"Passover has arrived, and so have all the foods that come with it! The annual holiday, which commemorates the liberation of the Jews from slavery, begins this year on April 22nd and lasts through the 30th. During this time, there are a lot of traditional dishes that people enjoy and a few that people avoid. Read on for all the food ins and outs you should know.",Michelle Pruett,04/25/16,https://www.huffpost.com/entry/how-to-eat-during-passover-5-things-to-know_b_9761598
Candace Cameron Bure Opens Up About Fight With Raven Over Anti-Gay Controversy,"The actress argued with Symone on ""The View"" about a bakery that refused to serve a lesbian couple.",Kira Brekke,08/04/15,https://www.huffpost.com/entry/candace-cameron-bure-raven-symone_n_7935254
Not Even Manolo Blahnik Has Walked A Mile In His Shoes,We don't blame him.,Jamie Feldman,09/16/15,https://www.huffpost.com/entry/manolo-blahnik-on-how-shoes-are-like-children_n_55f2cf6ce4b042295e35db6b
22 Non-Toxic Toys For Babies And Toddlers You Can Get On Amazon,"A guide to recycled toys, plastic-free toys, and toys made with natural dyes.",Brittany Nims,06/19/18,https://www.huffpost.com/entry/non-toxic-toys-for-babies-and-toddlers-on-amazon_n_5b293aece4b0a4dc99216b28
Amy Schumer Gets Lawyer To Send Hilarious Cease And Desist Letter To Her Trainer,"""Your blatant disregard of Ms. Schumer's physical well-being can only be interpreted as a deliberate effort to cause Ms. Schumer emotional distress.""",Josephine Harvey,12/05/19,https://www.huffpost.com/entry/amy-schumer-cease-and-desist-personal-trainer_n_5de840dae4b0d50f32ae0066
Why You Crave Food After Mentally Taxing Tasks--And How Exercise Can Help,,Health.com,09/22/16,https://www.huffpost.com/entry/why-you-crave-food-after_b_12125124
Moments In Mindfulness: Gardening,"Gardening is moving meditation, a meaningful way to be still and present in the moment. Learn how to incorporate this easy mindfulness technique into your life with these simple tips.",HuffPost Video,09/09/16,https://www.huffpost.com/entry/moments-in-mindfulness-gardening_n_5b57083de4b07de723e976e7
"It'll Be Really Hot In California This Weekend, And Wildfires Are Still Blazing",Temperatures are expected to hit the high 90s in areas affected by the Valley and Butte fires.,Mollie Reilly,09/18/15,https://www.huffpost.com/entry/california-weather-wildfires_n_8160408
U.S. Judge Dismisses Trump's Attempt To Block Subpoena For Tax Records,Trump has defied decades of precedent as a presidential candidate by refusing to release tax returns.,Reuters,08/20/20,https://www.huffpost.com/entry/trump-tax-records_n_5f3e8463c5b609f4f675bd69
Heartwarming Rescue of a Blind Pug Will Give You All the Feels,"When a special needs pug came to the Michigan Humane Society, he was in bad shape. Mikey's beginning wasn't a positive one, and he was nearly euthanized before he got into the safe hands of MHS volunteers.",LittleThings,06/22/15,https://www.huffpost.com/entry/heartwarming-rescue-of-a-_b_7624124
"Finally, Something Dems And GOP Can Agree On: Who Should Take The Iron Throne","""Game of Thrones"" fans of both parties also give Jon Snow and Arya Stark the highest overall favorability ratings at 81%.",Mary Papenfuss,05/18/19,https://www.huffpost.com/entry/dems-gop-iron-throne-poll_n_5cdf9b8ce4b09e05780426f8
Cobarde agresión a un jugador en plena entrevista,,Juez de Línea,05/14/15,https://www.huffpost.com/entry/aquiles-ocanto-agredido_n_7283916
Zac Efron's 'We Are Your Friends' Has One Of The Worst Openings Of All Time,Yikes.,Cavan Sieczkowski,08/31/15,https://www.huffpost.com/entry/zac-efron-we-are-your-friends-worst-openings_n_8065160
13 Things I Wish I Knew In My Early 20s,"The longer you wait to start a new life, the more settled you'll feel where you are and the older you'll be. You're only in your early 20s once and the time goes by quickly. If you want to try something new, now is the time.",Samantha Matt,04/24/15,https://www.huffpost.com/entry/13-things-i-wish-i-knew-in-my-early-20s_b_7026090
TV Station Faces Backlash After Airing Anti-Same Sex Marriage Ad,Some people are threatening to cancel their subscriptions.,James Michael Nichols,08/10/15,https://www.huffpost.com/entry/this-anti-same-sex-marriage-commercial-has-people-outraged_n_7967088
Does the UN Have a Future?,"It would be easier to relegate an exhausted UN Organization to the museums of history, but that is not an option as far as I am concerned. All those who have worked against the specter of world war should join forces to strengthen the UN's spirit rather than idly witness its dissolution.",Srgjan Kerim,10/24/16,https://www.huffpost.com/entry/does-the-un-have-a-future_b_12542278
Your Gym May Not Be Safe Enough,The Centers for Disease Control and Prevention is reporting two COVID-19 outbreaks that originated in fitness center classes.,,02/26/21,https://www.huffpost.com/entry/your-gym-may-not-be-safe-enough_n_603954b7e4b000d7148712eb
Lionel Richie Joins Other Stars Onstage For Tribute To Lionel Richie,"We wish this lasted ""all night long.""",Bill Bradley,02/16/16,https://www.huffpost.com/entry/grammys-2016-tribute-lionel-richie_n_56c24906e4b08ffac1262bb8
Loud Speakers Network Is Making Noise,"By any meaning of the word, Chris Morrow has had an extremely successful career. He co-authored several New York Times Best Sellers with Russell Simmons, Rev Run, and Tyrese.",Azeem Khan,04/27/15,https://www.huffpost.com/entry/loud-speakers-network-is-_b_7139020
The Pope And I (Are Having A Complicated Weekend),"The Pope's future is different, but we want to move in the same direction out of this particular dark patch of time. And, although the disagreements concern ""philosophical"" questions, they will not have theoretical answers, only historical ones. Time will tell.",Jedediah Purdy,06/21/15,https://www.huffpost.com/entry/the-pope-and-i-are-having_b_7632200
This Is What It's Like To Be An Anti-Trump Activist At The RNC,"Meet Bryan Hambley, who founded an anti-Donald Trump group. We spent a day with him at the Republican National Convention to see firsthand what the Trump protest movement is like in Cleveland.",Marc Janks,07/19/16,https://www.huffpost.com/entry/portrait-of-an-activist_n_5787e9a8e4b08608d333a442
Does Art Matter?,"The intellectual, social, emotional, and empathetic value of a piece of art may be hard to measure but are undeniable. A recent study found that students who visited an art museum demonstrated greater knowledge, critical thinking and empathy than those who didn't.",Dr. Samantha Boardman ,02/13/15,https://www.huffpost.com/entry/does-art-matter_b_6648084
Meet Simba And Nala's Son In This Clip From The 'Lion King' Sequel,"He's like Simba, but with a mohawk!",Oliver Whitney,08/18/15,https://www.huffpost.com/entry/lion-king-sequel-lion-guard_n_55d327d0e4b0ab468d9e4713
'Family' Groups Blast Boy Scouts' Decision To Allow Trans Kids,Inclusivity doesn't sit well with these folks.,Curtis M. Wong,02/02/17,https://www.huffpost.com/entry/boy-scouts-conservative-pushback_n_58938622e4b05c775abe89dc
New Technology Propels Fight Against West Coast Wildfires,Firefighters are strategically positioning resources and using new methods to keep small blazes from overwhelming emergency responders.,AP,07/24/21,https://www.huffpost.com/entry/new-technology-propels-fight-against-west-coast-wildfires_n_60fc71aee4b0a807eeb28963
