Query ID,Precision,Recall,F-measure,F1-measure,Accuracy
1,0.025951557093425604,0.5357142857142857,0.025951557093425604,0.04950495049504951,0.025380710659898477
2,0.006309148264984227,0.08333333333333333,0.006309148264984227,0.011730205278592375,0.0058997050147492625
4,0.004338394793926247,1.0,0.004338394793926247,0.008639308855291577,0.004338394793926247
8,0.015527950310559006,0.45454545454545453,0.015527950310559006,0.03003003003003003,0.01524390243902439
9,0.0017761989342806395,0.3333333333333333,0.0017761989342806393,0.003533568904593639,0.0017699115044247787
10,0.005076142131979695,0.625,0.005076142131979695,0.010070493454179255,0.005060728744939271
12,0.0,0.0,0,0,0.0
13,0.0028089887640449437,0.25,0.0028089887640449437,0.005555555555555555,0.002785515320334262
15,0.0011337868480725624,0.5,0.0011337868480725624,0.0022624434389140274,0.0011325028312570782
18,0.002386634844868735,0.3333333333333333,0.002386634844868735,0.004739336492890996,0.0023752969121140144
22,0.0,0.0,0,0,0.0
23,0.024444444444444446,0.34375,0.024444444444444446,0.04564315352697096,0.02335456475583864
26,0.004347826086956522,0.5,0.004347826086956522,0.008620689655172414,0.004329004329004329
27,0.0030165912518853697,0.6666666666666666,0.0030165912518853692,0.006006006006006006,0.0030120481927710845
29,0.006435006435006435,0.5555555555555556,0.006435006435006435,0.012722646310432571,0.006402048655569782
31,0.0010706638115631692,1.0,0.0010706638115631692,0.0021390374331550803,0.0010706638115631692
32,0.005050505050505051,0.6666666666666666,0.005050505050505051,0.010025062656641605,0.005037783375314861
33,0.0,0.0,0,0,0.0
34,0.009009009009009009,0.3333333333333333,0.009009009009009009,0.017543859649122806,0.008849557522123894
35,0.004750593824228029,0.6666666666666666,0.004750593824228029,0.009433962264150943,0.004739336492890996
39,0.023809523809523808,0.46153846153846156,0.02380952380952381,0.045283018867924525,0.023166023166023165
40,0.0037735849056603774,0.16666666666666666,0.0037735849056603774,0.007380073800738007,0.003703703703703704
41,0.002973240832507433,1.0,0.002973240832507433,0.005928853754940712,0.002973240832507433
49,0.002560819462227913,1.0,0.002560819462227913,0.005108556832694763,0.002560819462227913
50,0.005449591280653951,1.0,0.005449591280653951,0.010840108401084009,0.005449591280653951
