Query ID,Precision,Recall,F-measure,F1-measure,Accuracy
1,0.025597269624573378,0.5357142857142857,0.04885993485342019,0.04885993485342019,0.025041736227045076
2,0.017142857142857144,1.0,0.033707865168539325,0.033707865168539325,0.017142857142857144
4,0.0041841004184100415,1.0,0.008333333333333333,0.008333333333333333,0.0041841004184100415
8,0.016853932584269662,0.5454545454545454,0.0326975476839237,0.0326975476839237,0.01662049861495845
9,0.001440922190201729,0.3333333333333333,0.002869440459110473,0.002869440459110473,0.0014367816091954023
10,0.005,0.625,0.009920634920634922,0.009920634920634922,0.004985044865403789
12,0.0,0.0,0,0,0.0
13,0.0027624309392265192,0.25,0.00546448087431694,0.00546448087431694,0.0027397260273972603
15,0.002244668911335578,1.0,0.004479283314669653,0.004479283314669653,0.002244668911335578
18,0.002127659574468085,0.3333333333333333,0.004228329809725159,0.004228329809725159,0.00211864406779661
22,0.0,0.0,0,0,0.0
23,0.022857142857142857,1.0,0.04469273743016759,0.04469273743016759,0.022857142857142857
26,0.004285714285714286,1.0,0.008534850640113799,0.008534850640113799,0.004285714285714286
27,0.0028089887640449437,0.6666666666666666,0.005594405594405594,0.005594405594405594,0.002805049088359046
29,0.006377551020408163,0.5555555555555556,0.012610340479192938,0.012610340479192938,0.006345177664974619
31,0.0010384215991692627,1.0,0.002074688796680498,0.002074688796680498,0.0010384215991692627
32,0.0043821209465381246,0.8333333333333334,0.00871839581517001,0.00871839581517001,0.0043782837127845885
33,0.0,0.0,0,0,0.0
34,0.008733624454148471,0.3333333333333333,0.017021276595744678,0.017021276595744678,0.008583690987124463
35,0.004338394793926247,0.6666666666666666,0.008620689655172414,0.008620689655172414,0.004329004329004329
39,0.023346303501945526,0.46153846153846156,0.04444444444444444,0.04444444444444444,0.022727272727272728
40,0.0037105751391465678,0.16666666666666666,0.007259528130671505,0.007259528130671505,0.0036429872495446266
41,0.002142857142857143,1.0,0.0042765502494654314,0.0042765502494654314,0.002142857142857143
49,0.0025348542458808617,1.0,0.005056890012642225,0.005056890012642225,0.0025348542458808617
50,0.005385996409335727,1.0,0.010714285714285714,0.010714285714285714,0.005385996409335727
51,0.008988764044943821,0.8,0.017777777777777778,0.017777777777777778,0.008968609865470852
52,0.002857142857142857,1.0,0.005698005698005697,0.005698005698005697,0.002857142857142857
53,0.0,0.0,0,0,0.0
54,0.00946372239747634,0.6666666666666666,0.018662519440124415,0.018662519440124415,0.009419152276295133
55,0.010568031704095112,0.8,0.02086049543676662,0.02086049543676662,0.010540184453227932
56,0.007502679528403001,0.7,0.01484623541887593,0.01484623541887593,0.007478632478632479
57,0.00980392156862745,0.7857142857142857,0.01936619718309859,0.01936619718309859,0.009777777777777778
58,0.009210526315789473,0.7777777777777778,0.018205461638491547,0.018205461638491547,0.009186351706036745
59,0.00390625,1.0,0.007782101167315175,0.007782101167315175,0.00390625
61,0.003524229074889868,0.8,0.007017543859649123,0.007017543859649123,0.0035211267605633804
62,0.004037685060565276,0.6,0.008021390374331552,0.008021390374331552,0.004026845637583893
66,0.0035714285714285713,1.0,0.0071174377224199285,0.0071174377224199285,0.0035714285714285713
67,0.005253940455341506,0.21428571428571427,0.010256410256410256,0.010256410256410256,0.005154639175257732
68,0.00684931506849315,0.8,0.01358234295415959,0.01358234295415959,0.006837606837606838
69,0.006688963210702341,0.8,0.013266998341625208,0.013266998341625208,0.00667779632721202
71,0.007292616226071103,1.0,0.014479638009049773,0.014479638009049773,0.007292616226071103
72,0.01608910891089109,0.7647058823529411,0.03151515151515152,0.03151515151515152,0.01600985221674877
74,0.005263157894736842,1.0,0.010471204188481674,0.010471204188481674,0.005263157894736842
79,0.0035714285714285713,1.0,0.0071174377224199285,0.0071174377224199285,0.0035714285714285713
80,0.007142857142857143,0.75,0.014150943396226415,0.014150943396226415,0.007125890736342043
81,0.0019398642095053346,1.0,0.0038722168441432717,0.0038722168441432717,0.0019398642095053346
82,0.003472222222222222,0.6,0.0069044879171461454,0.0069044879171461454,0.003464203233256351
83,0.0019940179461615153,0.5,0.003972194637537239,0.003972194637537239,0.001990049751243781
84,0.010330578512396695,0.9090909090909091,0.020429009193054137,0.020429009193054137,0.010319917440660475
85,0.0013717421124828531,0.25,0.0027285129604365617,0.0027285129604365617,0.001366120218579235
86,0.0008841732979664014,0.5,0.0017652250661959398,0.0017652250661959398,0.0008833922261484099
87,0.004792332268370607,0.375,0.00946372239747634,0.00946372239747634,0.004754358161648178
93,0.0010245901639344263,1.0,0.0020470829068577278,0.0020470829068577278,0.0010245901639344263
94,0.011204481792717087,0.6666666666666666,0.02203856749311295,0.02203856749311295,0.011142061281337047
95,0.0011074197120708748,0.5,0.0022099447513812156,0.0022099447513812156,0.0011061946902654867
97,0.007142857142857143,1.0,0.014184397163120567,0.014184397163120567,0.007142857142857143
98,0.0021008403361344537,0.2,0.004158004158004158,0.004158004158004158,0.0020833333333333333
99,0.007317073170731708,0.75,0.014492753623188408,0.014492753623188408,0.0072992700729927005
100,0.011056511056511056,1.0,0.021871202916160386,0.021871202916160386,0.011056511056511056
101,0.0,0.0,0,0,0.0
102,0.0,0.0,0,0,0.0
103,0.002072538860103627,1.0,0.004136504653567735,0.004136504653567735,0.002072538860103627
104,0.0014684287812041115,0.2,0.0029154518950437313,0.0029154518950437313,0.00145985401459854
105,0.011185682326621925,1.0,0.022123893805309738,0.022123893805309738,0.011185682326621925
106,0.0033821871476888386,0.6,0.006726457399103139,0.006726457399103139,0.003374578177727784
107,0.023255813953488372,0.42857142857142855,0.04411764705882353,0.04411764705882353,0.022556390977443608
108,0.0,0.0,0,0,0.0
109,0.004459308807134894,0.8,0.008869179600886918,0.008869179600886918,0.004454342984409799
110,0.00228310502283105,0.25,0.004524886877828055,0.004524886877828055,0.0022675736961451248
111,0.005,1.0,0.009950248756218907,0.009950248756218907,0.005
112,0.0,0.0,0,0,0.0
113,0.00338409475465313,1.0,0.0067453625632377745,0.0067453625632377745,0.00338409475465313
114,0.004020100502512563,1.0,0.008008008008008008,0.008008008008008008,0.004020100502512563
116,0.003367003367003367,0.4,0.00667779632721202,0.00667779632721202,0.0033500837520938024
118,0.0026929982046678637,1.0,0.005371530886302596,0.005371530886302596,0.0026929982046678637
119,0,0.0,0,0,0.0
120,0.0,0.0,0,0,0.0
121,0.004477611940298508,0.42857142857142855,0.008862629246676515,0.008862629246676515,0.004451038575667656
122,0.0023584905660377358,0.2222222222222222,0.004667444574095682,0.004667444574095682,0.0023391812865497076
123,0.001583531274742676,1.0,0.003162055335968379,0.003162055335968379,0.001583531274742676
126,0.005714285714285714,1.0,0.011363636363636362,0.011363636363636362,0.005714285714285714
128,0.0019474196689386564,1.0,0.0038872691933916426,0.0038872691933916426,0.0019474196689386564
130,0.009836065573770493,0.6,0.01935483870967742,0.01935483870967742,0.009771986970684038
131,0.024922118380062305,1.0,0.0486322188449848,0.0486322188449848,0.024922118380062305
132,0.03278688524590164,0.9333333333333333,0.06334841628959276,0.06334841628959276,0.03271028037383177
133,0.009333333333333334,1.0,0.018494055482166448,0.018494055482166448,0.009333333333333334
135,0.005714285714285714,1.0,0.011363636363636362,0.011363636363636362,0.005714285714285714
136,0.004366812227074236,1.0,0.008695652173913044,0.008695652173913044,0.004366812227074236
137,0.004026845637583893,0.75,0.00801068090787717,0.00801068090787717,0.004021447721179625
138,0.0020100502512562816,1.0,0.004012036108324975,0.004012036108324975,0.0020100502512562816
139,0.0625,0.25,0.1,0.1,0.05263157894736842
140,0.0022988505747126436,0.16666666666666666,0.004535147392290249,0.004535147392290249,0.0022727272727272726
141,0.006666666666666667,0.6666666666666666,0.013201320132013201,0.013201320132013201,0.006644518272425249
142,0.002403846153846154,1.0,0.004796163069544364,0.004796163069544364,0.002403846153846154
143,0.0014285714285714286,1.0,0.0028530670470756064,0.0028530670470756064,0.0014285714285714286
145,0.0071301247771836,0.5714285714285714,0.014084507042253521,0.014084507042253521,0.0070921985815602835
146,0.0043859649122807015,0.5,0.008695652173913044,0.008695652173913044,0.004366812227074236
147,0.01483679525222552,1.0,0.029239766081871347,0.029239766081871347,0.01483679525222552
148,0.0052173913043478265,0.5,0.010327022375215147,0.010327022375215147,0.005190311418685121
149,0.003875968992248062,0.36363636363636365,0.007670182166826462,0.007670182166826462,0.0038498556304138597
150,0.001892147587511826,1.0,0.003777148253068933,0.003777148253068933,0.001892147587511826
152,0.0,0.0,0,0,0.0
153,0.0078003120124804995,0.7142857142857143,0.015432098765432098,0.015432098765432098,0.007776049766718507
154,0.002680965147453083,0.5,0.005333333333333333,0.005333333333333333,0.00267379679144385
155,0.016877637130801686,0.6666666666666666,0.03292181069958847,0.03292181069958847,0.016736401673640166
